 [颗粒剂],湖北
转化糖电解质, [注射剂],陕西
吲哚美辛, [滴眼剂],陕西
芪药消渴胶囊, ,陕西
槐角地榆丸, ,陕西
细菌溶解产物, [口服常释剂型],陕西
泼尼松, [眼膏剂],陕西
腺苷, [注射剂],陕西
复方硫酸亚铁, [颗粒剂],陕西
冻疮膏, [软膏剂],陕西
低分子右旋糖酐氨基酸, [注射剂],陕西
天麻素, [注射剂],陕西
乌洛托品, [口服常释剂型],陕西
注射用益气复脉(冻干), ,陕西
冰石愈伤软膏, ,陕西
脑血疏口服液, ,陕西
猴头健胃灵胶囊, ,陕西
消结安胶囊, ,陕西
金嗓利咽丸, ,陕西
嘎日迪五味胶囊, ,陕西
克痒舒洗液, ,陕西
乳癖舒胶囊, ,陕西
乳疾灵胶囊, ,陕西
养正合剂, ,陕西
复方谷氨酰胺, [口服常释剂型],陕西
正清风痛宁缓释片, ,陕西
山香圆片, ,陕西
桂林西瓜霜含片, ,陕西
红花如意丸, ,陕西
归芍调经片, ,陕西
抗妇炎胶囊, ,陕西
复方血栓通滴丸, ,陕西
艽龙胶囊, ,陕西
复方锁阳口服液, ,陕西
二丁酰环磷腺苷, [注射剂],陕西
尼可地尔, [口服常释剂型],陕西
艾地苯醌, [口服常释剂型],陕西
枸橼酸铋钾, [口服液体剂],陕西
葛根素, [滴眼剂],陕西
复方麻黄碱色甘酸钠, [贴剂],陕西
肝素, [软膏剂],陕西
棓丙酯, [注射剂],陕西
克林霉素甲硝唑, [外用液体剂],陕西
参柏舒阴洗液, ,陕西
千柏鼻炎片, ,陕西
苯丙哌林, [口服常释剂型],陕西
地西泮, [贴剂],陕西
奥洛他定, [滴眼剂],陕西
血液滤过置换液, [注射剂],陕西
克霉唑, [阴道泡腾片],陕西
多糖铁复合物, [口服常释剂型],陕西
复方蓝棕果, [口服常释剂型],陕西
混合糖电解质, [注射剂],陕西
乳泰胶囊, ,陕西
小青龙糖浆, ,陕西
复方气管炎片, ,陕西
叶下珠胶囊, ,陕西
桔贝止咳祛痰片, ,陕西
复方板蓝根颗粒, ,陕西
减味紫雪口服液, ,陕西
五灵胶囊, ,陕西
大株红景天注射液, ,陕西
心荣胶囊, ,陕西
氨酚氯雷伪麻, [缓释控释剂型],陕西
复方三维B, [注射剂],陕西
咳特灵胶囊, ,陕西
小儿肺热咳喘口服液, ,陕西
金茵利胆胶囊, ,陕西
藿香正气滴丸, ,陕西
肝爽颗粒, ,陕西
灯银脑通胶囊, ,陕西
心神宁片, ,陕西
活血胶囊, ,陕西
氟比洛芬, [巴布膏剂],陕西
地佐辛, [注射剂],陕西
头孢氨苄, [缓释控释剂型],陕西
呋布西林, [注射剂],陕西
利福定, [口服常释剂型],陕西
维生素AD, [口服常释剂型],陕西
胸腺肽, [注射剂],陕西
地氯雷他定, [口服常释剂型],陕西
炔雌醇环丙孕酮, [口服常释剂型],陕西
巴利昔单抗, [注射剂],陕西
养阴清胃颗粒, ,陕西
消咳平喘口服液, ,陕西
萘夫西林, [注射剂],陕西
羧苄西林, [注射剂],陕西
培氟沙星, [口服常释剂型],陕西
斑蝥酸钠维生素B6, [注射剂],陕西
乙酰天麻素, [口服常释剂型],陕西
苯甲酸雌二醇, [软膏剂],陕西
葡萄糖酸钙锌, [口服液体剂],陕西
英夫利西单抗, [注射剂],陕西
泻白糖浆, ,陕西
牛黄消炎片(丸), ,陕西
芙蓉抗流感胶囊, ,陕西
四季抗病毒合剂, ,陕西
热炎宁合剂, ,陕西
冠心通片, ,陕西
芪蛭通络胶囊, ,陕西
杞菊地黄口服液, ,陕西
延参健胃胶囊, ,陕西
核糖核酸Ⅱ, [注射剂],陕西
强筋健骨胶囊（片）, ,陕西
金砂五淋丸, ,陕西
强力感冒片, ,陕西
肝康宁片, ,陕西
龙生蛭胶囊, ,陕西
山海丹胶囊, ,陕西
杜蛭丸, ,陕西
天麻醒脑胶囊, ,陕西
甘海胃康胶囊, ,陕西
复方角菜酸酯, [软膏剂],陕西
胆石片, ,陕西
双石通淋胶囊, ,陕西
经带宁胶囊, ,陕西
蛭蛇通络胶囊, ,陕西
疏肝益阳胶囊, ,陕西
血塞通软胶囊, ,陕西
胃祥宁颗粒, ,陕西
复方三七胶囊, ,陕西
仙璐贝滴剂, ,陕西
协日嘎四味汤胶囊, ,陕西
郁金银屑片, ,陕西
西帕依麦孜彼子胶囊, ,陕西
伤湿止痛膏, ,陕西
和胃降逆胶囊, ,陕西
星瑙灵片, ,陕西
大风丸, ,陕西
妇可靖胶囊, ,陕西
跌打生骨胶囊, ,陕西
金嗓散结胶囊, ,陕西
双红活血胶囊, ,陕西
白癜风胶囊, ,陕西
鼻康片, ,陕西
复方芙蓉泡腾栓, ,陕西
益宫颗粒, ,陕西
乳康软胶囊, ,陕西
枫蓼肠胃康分散片, ,陕西
咳速停糖浆, ,陕西
咳露口服液, ,陕西
双金连合剂, ,陕西
蒲地蓝消炎口服液, ,陕西
地佐辛, [注射剂],四川
磷酸氢钙, [口服常释剂型],四川
复方清带灌注液, ,陕西
乐孕宁口服液, ,陕西
川贝止咳糖浆, ,陕西
喘泰颗粒, ,陕西
复方鲜竹沥液, ,陕西
感冒灵颗粒, ,陕西
清热灵颗粒, ,陕西
双黄连软胶囊, ,陕西
结合雌激素, [软膏剂],四川
复方氨基酸(17AA), [注射剂],四川
安乃近, [注射剂],四川
甲硝唑, [缓释控释剂型],四川
双氯芬酸, [凝胶剂],四川
芬布芬, [口服常释剂型],四川
妇康宝口服液, ,四川
五淋化石胶囊, ,四川
洁尔阴泡腾片（洗液）, ,四川
复方羊角颗粒, ,四川
硼酸冰片, [滴耳剂],四川
复方妥布霉素, [滴眼剂],四川
苯酰甲硝唑, [口服常释剂型],四川
布洛芬, [缓释混悬剂],四川
贝诺酯, [散剂],四川
芦笋胶囊, ,四川
烧伤止痛膏, ,四川
维妇康洗液, ,四川
当归调经片, ,四川
健胃消食片, ,四川
消旋山莨菪碱, [滴眼剂],四川
聚维酮碘, [外用液体剂],四川
聚维酮碘, [栓剂],四川
西地碘, [口服常释剂型],四川
环磷腺苷葡胺, [注射剂],四川
复方磺胺嘧啶, [口服常释剂型],四川
依托红霉素, [颗粒剂],四川
萘夫西林, [注射剂],四川
头孢妥仑匹酯, [口服常释剂型],四川
维生素A, [丸剂],四川
复方β-胡萝卜素, [口服常释剂型],陕西
曲克芦丁香豆素, [口服常释剂型],陕西
卡介菌多糖、核酸制剂, [注射剂],四川
硫酸软骨素, [口服常释剂型],四川
右旋糖酐铁, [口服常释剂型],四川
依托红霉素, [口服常释剂型],四川
复方磺胺甲噁唑, [颗粒剂],四川
头孢噻利, [注射剂],四川
达克罗宁, [口服液体剂],四川
氨酚黄那敏, [颗粒剂],四川
麻黄碱, [口服常释剂型],陕西
酮康唑, [口服常释剂型],陕西
头孢甲肟, [注射剂],陕西
头孢曲松他唑巴坦, [注射剂],陕西
胸腺肽, [口服常释剂型],陕西
谷红, [注射剂],陕西
丹皮酚, [注射剂],陕西
复方氨基酸(17AA-H), [注射剂],陕西
复方醋酸棉酚, [口服常释剂型],陕西
五子衍宗丸, ,陕西
黄龙咳喘胶囊, ,陕西
止血宝胶囊, ,陕西
头孢地嗪, [注射剂],陕西
地西他滨, [注射剂],陕西
氟尿嘧啶, [植入剂],陕西
丙戊酸钠, [口服液体剂],陕西
骨化三醇, [注射剂],陕西
A群链球菌, [注射剂],陕西
灵芝胶囊, ,陕西
参麦颗粒, ,陕西
鹿首安神颗粒, ,陕西
注射用丹参, ,陕西
丹香冠心注射液, ,陕西
心欣舒胶囊, ,陕西
健宝灵颗粒, ,陕西
硫糖铝, [混悬凝胶剂],四川
复方谷氨酰胺, [口服常释剂型],四川
胃蛋白酶, [口服常释剂型],四川
胎盘多肽, [注射剂],四川
斑蝥酸钠维生素B6, [注射剂],四川
决明降脂胶囊, ,四川
活血镇痛胶囊, ,四川
参仙升脉口服液, ,陕西
冠心泰丸, ,陕西
龙香平喘胶囊, ,陕西
复方甘草氯化铵, [口服常释剂型],四川
铝碳酸镁, [咀嚼片],四川
胸腺五肽, [注射剂],四川
甲氯芬酯, [注射剂],四川
维酶素, [口服常释剂型],四川
解毒降脂片, ,四川
十三味红花丸, ,四川
八味沉香散, ,四川
沉香安神散, ,四川
鼻舒适片, ,四川
乳癖康片, ,四川
儿科七厘散, ,四川
板蓝根注射液（咀嚼片）, ,四川
小儿肺热咳喘颗粒, ,四川
银柴颗粒（合剂）, ,四川
艾司唑仑, [注射剂],四川
甘露聚糖肽, [口服液体剂],四川
德都红花七味丸, ,四川
麝香舒活灵, ,四川
清喉利咽颗粒, ,四川
金珍滴眼液, ,四川
喉炎丸, ,四川
百咳静糖浆, ,四川
咳特灵片（胶囊）, ,四川
杏苏合剂, ,四川
转移因子, [注射剂],四川
甘露聚糖肽, [注射剂],四川
乙酰谷酰胺, [注射剂],四川
脑苷肌肽, [注射剂],四川
浓碘甘油, [外用液体剂],四川
参芎葡萄糖, [注射剂],四川
多糖铁复合物, [口服常释剂型],四川
丁胺卡那霉素, [注射剂],四川
加替沙星, [注射剂],四川
依诺沙星, [注射剂],四川
利咽解毒颗粒, ,四川
银黄含片, ,四川
小牛血清去蛋白, [注射剂],四川
缩宫素, [喷雾剂],四川
氯噻酮, [口服常释剂型],四川
枸橼酸钾, [口服液体剂],四川
克林霉素棕榈酸酯, [颗粒剂],四川
帕珠沙星, [注射剂],四川
依诺沙星, [口服常释剂型],四川
庆大霉素, [口服液体剂],四川
口炎颗粒, ,四川
益肝颗粒, ,四川
复方穿心莲片, ,四川
桔梗冬花片, ,四川
桑姜感冒片, ,四川
参苏感冒片, ,四川
屏风生脉胶囊, ,四川
银翘伤风胶囊, ,四川
舒胸片(颗粒), ,四川
天王补心丹, ,四川
抗感颗粒, ,四川
小儿退热口服液, ,四川
复方板蓝根颗粒, ,四川
麻杏甘石软胶囊, ,四川
散寒解热口服液, ,四川
十滴水胶丸, ,四川
感冒灵胶囊, ,四川
丹芎通脉颗粒, ,四川
注射用丹参, ,四川
三七止血胶囊, ,四川
玉屏风软胶囊, ,四川
五灵止痛胶囊, ,四川
枣仁安神液, ,四川
六味木香胶囊, ,四川
注射用红花黄色素, ,四川
牛黄醒脑丸, ,四川
补肾防喘片, ,四川
五子衍宗丸, ,四川
胸腺肽α1, [注射剂],四川
氨溴索, [缓释控释剂型],四川
呋布西林, [注射剂],四川
头孢曲松他唑巴坦, [注射剂],四川
地奥心血康软胶囊, ,四川
玄胡止痛片, ,四川
复方天麻颗粒（胶囊）, ,四川
大山楂丸, ,四川
降糖宁胶囊, ,四川
龟鹿二胶丸, ,四川
黄芪注射液, ,四川
复方二氯醋酸二异丙胺, [注射剂],四川
双氯青霉素, [口服常释剂型],四川
头孢匹胺, [注射剂],四川
奥硝唑, [口服常释剂型],四川
复方曲马多, [口服常释剂型],四川
甲基硫氧嘧啶, [口服常释剂型],四川
复方阿苯达唑, [口服常释剂型],四川
莲芪胶囊, ,四川
灵芝胶囊, ,四川
妇康口服液, ,四川
玉真散, ,四川
复方元胡止痛片, ,四川
石淋通颗粒, ,四川
复合维生素B, [注射剂],四川
复方雌孕(Ⅲ), [口服常释剂型],四川
硫酸锌, [颗粒剂],四川
氯唑沙宗, [口服常释剂型],四川
京万红痔疮膏, ,四川
加味生化颗粒, ,四川
益母草注射液, ,四川
颠茄酊, ,四川
调脂片, ,四川
昆明山海棠片, ,四川
强肾片, ,四川
麝香狗皮膏, ,四川
筋骨痛消丸, ,四川
麝香壮骨膏, ,四川
二十五味竺黄散, ,四川
余甘子喉片, ,四川
女金丹丸, ,四川
正骨紫金丸, ,四川
头孢替唑, [注射剂],四川
氨苄西林, [口服常释剂型],四川
风湿关节炎片, ,四川
防参止痒颗粒, ,四川
强腰壮骨膏, ,四川
寒水石二十一味散, ,四川
复方土荆皮酊, ,四川
明目地黄胶囊, ,四川
止血祛瘀明目片, ,四川
中华跌打丸, ,四川
头孢泊肟酯, [口服液体剂],四川
厄他培南, [注射剂],四川
头孢哌酮他唑巴坦, [注射剂],四川
酚氨咖敏, [颗粒剂],四川
酚氨咖敏, [口服常释剂型],四川
穿琥宁, [注射剂],四川
酚美愈伪麻, [口服常释剂型],四川
回生口服液, ,四川
产妇安颗粒, ,四川
补血调经片, ,四川
天麻蜜环菌片, ,四川
陈香露白露片, ,四川
头孢克肟, [注射剂],四川
米格列醇, [口服常释剂型],四川
安乃近, [滴鼻剂],四川
伐昔洛韦, [缓释控释剂型],四川
贝诺酯, [口服常释剂型],四川
博尔宁胶囊, ,四川
益母颗粒, ,四川
胆舒滴丸（软胶囊）, ,四川
小儿惊风七厘散, ,四川
元胡止痛分散片, ,四川
清淋颗粒（冲剂）, ,四川
药用灸条, ,四川
消肿镇痛膏, ,四川
九味青鹏散, ,四川
独圣活血片, ,四川
芩连胶囊, ,四川
龙胆泻肝口服液, ,四川
猴耳环消炎片, ,四川
泰必利, [口服常释剂型],四川
氯霉素, [滴耳剂],四川
伤湿祛痛膏, ,四川
复方藏红花油, ,四川
七味诃子散, ,四川
苍耳子鼻炎胶囊, ,四川
接骨续筋片, ,四川
香砂养胃软胶囊, ,四川
风热清口服液, ,四川
川贝枇杷糖浆, ,四川
紫杉醇脂质体, [注射剂],四川
丁硼, [软膏剂],四川
氯霉素, [眼膏剂],四川
复方氯己定, [外用液体剂],四川
甘油氯化钠, [注射剂],四川
输血用枸橼酸钠, [注射剂],四川
聚明胶肽, [注射剂],四川
转化糖电解质, [注射剂],四川
西索米星, [注射剂],四川
司帕沙星, [口服常释剂型],四川
竹沥胶囊, ,四川
半夏止咳糖浆, ,四川
阿昔洛韦, [眼膏剂],四川
阿米卡星, [滴眼剂],四川
复方蓝棕果, [口服常释剂型],四川
钠钾镁钙葡萄糖, [注射剂],四川
依诺沙星, [滴眼剂],四川
磺胺甲噁唑, [口服常释剂型],四川
加替沙星, [口服常释剂型],四川
氟氯西林阿莫西林, [口服常释剂型],四川
小儿止咳糖浆, ,四川
咳速停糖浆, ,四川
黄连解毒丸, ,四川
感冒止咳冲剂, ,四川
风油精, ,四川
保心宁片, ,四川
安宫牛黄散, ,四川
注射用清开灵（冻干）, ,四川
五味子糖浆, ,四川
乙肝扶正胶囊, ,四川
溃疡灵胶囊, ,四川
逍遥合剂, ,四川
夏桑菊颗粒, ,四川
羚羊感冒片, ,四川
轻舒颗粒, ,四川
红花黄色素氯化钠注射液, ,四川
健脾糕片, ,四川
益肺胶囊, ,四川
生脉饮口服液, ,四川
门冬氨酸鸟氨酸, [颗粒剂],西藏
安胃颗粒, ,四川
脑络通胶囊, ,四川
益脑宁片, ,四川
复方川贝止咳糖浆, ,四川
芪明颗粒, ,四川
多烯磷脂酰胆碱, [注射剂],四川
硫糖铝, [咀嚼片],四川
福多司坦, [口服常释剂型],四川
L-谷氨酰胺, [口服常释剂型],四川
氯屈膦酸二钠, [注射剂],四川
雷莫司琼, [注射剂],西藏
促肝细胞生长素, [颗粒剂],西藏
橘红化痰片, ,四川
渴络欣胶囊, ,四川
河车大造丸, ,四川
复方氯丙那林溴己新, [口服常释剂型],四川
福莫特罗, [口服常释剂型],四川
美辛唑酮, [栓剂],四川
多酶, [口服常释剂型],四川
甘露聚糖肽, [口服常释剂型],四川
巴柳氮, [颗粒剂],西藏
单唾液酸四己糖神经节苷脂, [注射剂],西藏
细辛脑, [注射剂],西藏
厄多司坦, [口服常释剂型],西藏
尼扎替丁, [口服常释剂型],西藏
普仑司特, [口服常释剂型],西藏
羧甲基纤维素钠, [滴眼剂],西藏
卡络磺钠, [注射剂],西藏
喷他佐辛, [注射剂],西藏
复方氨基酸螯合钙, [口服常释剂型],西藏
三磷酸腺苷辅酶胰岛素, [注射剂],西藏
氨苄西林氯唑西林, [注射剂],西藏
尼可地尔, [口服常释剂型],西藏
曲尼司特, [口服常释剂型],西藏
右美沙芬, [口服液体剂],西藏
尿素维E, [软膏剂],西藏
噻吗洛尔, [口服常释剂型],西藏
贝诺酯, [口服常释剂型],西藏
炎琥宁, [注射剂],西藏
米格列奈, [口服常释剂型],西藏
头孢甲肟, [注射剂],西藏
安妥沙星, [口服常释剂型],西藏
帕珠沙星, [注射剂],西藏
吉非替尼, [口服常释剂型],西藏
异丁司特, [缓释控释剂型],西藏
重组人干扰素β1а, [注射剂],西藏
培美曲塞, [注射剂],西藏
斑蝥酸钠维生素B6, [注射剂],西藏
伊达比星, [口服常释剂型],西藏
重组人白介素-11, [注射剂],西藏
恩他卡朋, [口服常释剂型],西藏
九味渣驯丸, ,西藏
抗肿瘤免疫核糖核酸, [注射剂],西藏
蕲蛇酶, [注射剂],西藏
小牛脾提取物, [注射剂],西藏
依那西普, [注射剂],西藏
氟尿嘧啶, [植入剂],西藏
紫杉醇脂质体, [注射剂],西藏
利奈唑胺, [注射剂],西藏
重组人白介素-11（Ⅰ）, [注射剂],西藏
环轮宁, [注射剂],西藏
十八味党参丸, ,西藏
十八味杜鹃丸, ,西藏
三十五味沉香丸, ,西藏
二十五味大汤丸, ,西藏
二十五味竺黄散, ,西藏
风湿止痛丸, ,西藏
二十五味马宝丸, ,西藏
血骚普清散, ,西藏
五鹏丸, ,西藏
降纤酶, [注射剂],西藏
多糖铁复合物, [口服常释剂型],西藏
萨热大鹏丸, ,西藏
九味牛黄丸, ,西藏
二十五味肺病丸, ,西藏
加味白药丸, ,西藏
二十五味驴血丸, ,西藏
五味金色丸, ,西藏
五味渣驯丸, ,西藏
石榴日轮丸, ,西藏
棓丙酯, [注射剂],西藏
乳酸亚铁, [口服常释剂型],西藏
藻酸双酯钠, [注射剂],西藏
艾塞那肽, [注射剂],西藏
水解蛋白, [注射剂],西藏
两性霉素B脂质体, [注射剂],西藏
依诺沙星, [注射剂],西藏
利妥昔单抗, [注射剂],西藏
香菇多糖, [注射剂],西藏
二维三七桂利嗪, [口服常释剂型],西藏
五味黄连丸, ,西藏
六味枸杞口服液, ,西藏
果糖二磷酸钠, [口服常释剂型],西藏
依替膦酸二钠, [口服常释剂型],西藏
头孢噻肟舒巴坦, [注射剂],西藏
头孢地嗪, [注射剂],西藏
诺氟沙星, [注射剂],西藏
伊马替尼, [口服常释剂型],西藏
云芝胞内糖肽, [口服常释剂型],西藏
地氯雷他定, [口服常释剂型],西藏
红花如意丸, ,西藏
十一味甘露胶囊, ,西藏
十五味萝蒂明目丸, ,西藏
十一味甘露丸, ,西藏
十五味黑药丸, ,西藏
益安宁丸, ,西藏
安脑牛黄胶囊, ,西藏
参芍胶囊, ,西藏
芪参胶囊, ,西藏
安神健脑液, ,西藏
阿扎司琼, [注射剂],西藏
柠檬烯, [口服常释剂型],西藏
十五味龙胆花丸, ,西藏
十味乳香丸, ,西藏
八味獐牙菜丸, ,西藏
牛黄清脑开窍丸, ,西藏
心脉隆注射液, ,西藏
人参多糖注射液, ,西藏
五味子糖浆, ,西藏
四季三黄软胶囊, ,西藏
丁二磺酸腺苷蛋氨酸, [注射剂],西藏
羟甲烟胺, [口服常释剂型],西藏
苦参素, [口服常释剂型],西藏
奥拉西坦, [注射剂],西藏
丙谷胺, [口服常释剂型],西藏
聚明胶肽, [注射剂],西藏
甘露聚糖肽, [口服常释剂型],西藏
复方硫酸新霉素, [滴眼剂],西藏
重组人表皮生长因子衍生物, [滴眼剂],西藏
氨氯地平阿托伐他汀, [口服常释剂型],西藏
莫家清宁丸, ,西藏
香苏调胃片, ,西藏
氯氮卓, [口服常释剂型],西藏
尤瑞克林, [注射剂],西藏
氨溴特罗, [口服液体剂],西藏
磷酸钠盐, [口服液体剂],西藏
甲硫氨酸维B1, [注射剂],西藏
羟苯磺酸钙, [口服常释剂型],西藏
蛹油a-亚麻酸乙酯, [口服常释剂型],西藏
硝酸甘油, [吸入剂],西藏
四季抗病毒合剂, ,西藏
鸡骨草胶囊, ,西藏
益宫颗粒, ,西藏
云芝肝泰胶囊（颗粒、片）, ,西藏
八味安宁散, ,西藏
养正合剂, ,西藏
汉桃叶片, ,西藏
回生口服液, ,西藏
积雪苷片, ,西藏
铁棒锤止痛膏, ,西藏
益气活血颗粒, ,西藏
复方板蓝根颗粒, ,西藏
苦参栓, ,西藏
杏香兔耳风片, ,西藏
八味沉香丸, ,西藏
天麻蜜环菌片, ,西藏
血脂平胶囊, ,西藏
蟾酥注射液, ,西藏
非洲臀果木提取物胶囊, ,西藏
肝水解肽, [注射剂],西藏
养心生脉颗粒, ,西藏
片仔癀胶囊, ,西藏
熊胆胶囊, ,西藏
咳特灵胶囊, ,西藏
乙肝健片, ,西藏
复方三七胶囊, ,西藏
妇科再造丸, ,西藏
妇炎康片, ,西藏
八味檀香丸, ,西藏
八味西红花止血散, ,西藏
唑尼沙胺, [口服常释剂型],西藏
重组人Ⅱ型肿瘤坏死因子受体-抗体融合蛋白, [注射剂],西藏
乌头注射液, ,西藏
肝必复胶囊, ,西藏
清肝利胆胶囊, ,西藏
复方鱼腥草合剂（颗粒）, ,西藏
复方益母草胶囊, ,西藏
八味西红花清肝热散, ,西藏
八味獐牙菜胶囊, ,西藏
八味沉香散, ,西藏
胸腺五肽, [注射剂],西藏
金葡素, [注射剂],西藏
抗Tac单抗, [注射剂],西藏
伊达比星, [注射剂],西藏
利奈唑胺, [口服常释剂型],西藏
卡巴拉汀, [口服常释剂型],西藏
帕珠丸, ,西藏
七味螃蟹甲丸, ,西藏
九味獐牙菜丸, ,西藏
六味锦鸡儿汤散, ,西藏
七味血病丸, ,西藏
十八味诃子丸, ,西藏
吗替麦考酚酯, [注射剂],西藏
英夫利西单抗, [注射剂],西藏
多奈哌齐, [口服常释剂型],西藏
果糖, [注射剂],西藏
能安均宁散, ,西藏
七味诃子散, ,西藏
九味青鹏散, ,西藏
九味竺黄散, ,西藏
三味甘露散, ,西藏
清肺止咳丸, ,西藏
三果汤散, ,西藏
二十六味通经散, ,西藏
常松八味沉香散, ,西藏
二十一味寒水石散, ,
