Med_Name,Med_Kind,Med_Plc
氟康唑氯化钠,全身用抗感染药 [注射剂],国家
氟胞嘧啶,全身用抗感染药 [口服常释剂型],国家
利福霉素,全身用抗感染药 [注射剂],国家
异福,全身用抗感染药 [口服常释剂型],国家
利巴韦林,全身用抗感染药 [口服常释剂型;颗粒剂],国家
伐昔洛韦,全身用抗感染药 [口服常释剂型],国家
泛昔洛韦,全身用抗感染药 [注射剂],国家
更昔洛韦,全身用抗感染药 [注射剂],国家
沙奎那韦,全身用抗感染药 [口服常释剂型],国家
齐多夫定,全身用抗感染药 [口服液体剂],国家
齐多夫定,全身用抗感染药 [注射剂],国家
抗艾滋病用药,全身用抗感染药 ,国家
抗狂犬病血清,全身用抗感染药 [注射剂],国家
抗蝰蛇毒血清,全身用抗感染药 [注射剂],国家
A型肉毒抗毒素,全身用抗感染药 [注射剂],国家
破伤风人免疫球蛋白,全身用抗感染药 [注射剂],国家
人用狂犬病疫苗(地鼠肾细胞),全身用抗感染药 [注射剂],国家
人用狂犬病疫苗(人二倍体细胞),全身用抗感染药 [注射剂],国家
环磷酰胺,抗肿瘤药及免疫调节剂 [注射剂],国家
白消安,抗肿瘤药及免疫调节剂 [注射剂],国家
司他夫定,全身用抗感染药 [口服散剂],国家
齐多拉米双夫定,全身用抗感染药 [口服常释剂型],国家
抗蝮蛇毒血清,全身用抗感染药 [注射剂],国家
抗五步蛇毒血清,全身用抗感染药 [注射剂],国家
静注人免疫球蛋白(pH4),全身用抗感染药 [注射剂],国家
人狂犬病免疫球蛋白,全身用抗感染药 [注射剂],国家
人用狂犬病疫苗(鸡胚细胞),全身用抗感染药 [注射剂],国家
环磷酰胺,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
硝卡芥,抗肿瘤药及免疫调节剂 [注射剂],国家
培美曲塞,抗肿瘤药及免疫调节剂 [注射剂],国家
克林霉素棕榈酸酯,全身用抗感染药 [颗粒剂],国家
依替米星,全身用抗感染药 [注射剂],国家
左氧氟沙星,全身用抗感染药 [口服常释剂型],国家
环丙沙星氯化钠,全身用抗感染药 [注射剂],国家
莫西沙星氯化钠,全身用抗感染药 [注射剂],国家
吡哌酸,全身用抗感染药 [口服常释剂型],国家
替硝唑,全身用抗感染药 [口服常释剂型],国家
甲硝唑氯化钠,全身用抗感染药 [注射剂],国家
大观霉素,全身用抗感染药 [注射剂],国家
青霉素皮试剂,全身用抗感染药 [注射剂],国家
庆大霉素,全身用抗感染药 [口服常释剂型],国家
氧氟沙星,全身用抗感染药 [口服常释剂型],国家
环丙沙星葡萄糖,全身用抗感染药 [注射剂],国家
吉米沙星,全身用抗感染药 [口服常释剂型],国家
左氧氟沙星葡萄糖,全身用抗感染药 [注射剂],国家
甲硝唑,全身用抗感染药 [注射剂],国家
奥硝唑,全身用抗感染药 [注射剂],国家
替硝唑葡萄糖,全身用抗感染药 [注射剂],国家
磷霉素氨丁三醇,全身用抗感染药 [口服常释剂型;口服散剂],国家
两性霉素B,全身用抗感染药 [脂质体注射剂],国家
氟达拉滨,抗肿瘤药及免疫调节剂 [注射剂],国家
阿糖胞苷,抗肿瘤药及免疫调节剂 [注射剂],国家
氟尿嘧啶氯化钠,抗肿瘤药及免疫调节剂 [注射剂],国家
去氧氟尿苷,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
长春瑞滨,抗肿瘤药及免疫调节剂 [注射剂],国家
多西他赛,抗肿瘤药及免疫调节剂 [注射剂],国家
三尖杉酯碱,抗肿瘤药及免疫调节剂 [注射剂],国家
丝裂霉素,抗肿瘤药及免疫调节剂 [注射剂],国家
顺铂,抗肿瘤药及免疫调节剂 [注射剂],国家
丙卡巴肼,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
硫鸟嘌呤,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
替加氟,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
卡培他滨,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
替加氟,抗肿瘤药及免疫调节剂 [注射剂],国家
紫杉醇,抗肿瘤药及免疫调节剂 [注射剂],国家
羟喜树碱,抗肿瘤药及免疫调节剂 [注射剂],国家
柔红霉素,抗肿瘤药及免疫调节剂 [注射剂],国家
卡铂,抗肿瘤药及免疫调节剂 [注射剂],国家
顺铂氯化钠,抗肿瘤药及免疫调节剂 [注射剂],国家
达沙替尼,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
吉非替尼,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
门冬酰胺酶,抗肿瘤药及免疫调节剂 [注射剂],国家
亚砷酸,抗肿瘤药及免疫调节剂 [注射剂],国家
三氧化二砷氯化钠,抗肿瘤药及免疫调节剂 [注射剂],国家
比卡鲁胺,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
托瑞米芬,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
重组人干扰素α1b,抗肿瘤药及免疫调节剂 [注射剂],国家
重组人干扰素α2a(酵母),抗肿瘤药及免疫调节剂 [注射剂],国家
重组人白介素-11,抗肿瘤药及免疫调节剂 [注射剂],国家
重组人白介素-11(酵母),抗肿瘤药及免疫调节剂 [注射剂],国家
伊马替尼,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
甲异靛,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
亚砷酸氯化钠,抗肿瘤药及免疫调节剂 [注射剂],国家
丙氨瑞林,抗肿瘤药及免疫调节剂 [注射剂],国家
来曲唑,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
重组人粒细胞刺激因子(CHO细胞),抗肿瘤药及免疫调节剂 [注射剂],国家
重组人干扰素α2a,抗肿瘤药及免疫调节剂 [注射剂],国家
重组人干扰素α2b,抗肿瘤药及免疫调节剂 [注射剂],国家
重组人白介素-11(Ⅰ),抗肿瘤药及免疫调节剂 [注射剂],国家
重组人白介素-2,抗肿瘤药及免疫调节剂 [注射剂],国家
氨肽素,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
巴利昔单抗,抗肿瘤药及免疫调节剂 [注射剂],国家
硫唑嘌呤,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
咪唑立宾,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
吲哚美辛,肌肉-骨骼系统药物 [口服常释剂型;缓释控释剂型;缓控释颗粒剂],国家
小儿布洛芬,肌肉-骨骼系统药物 [栓剂],国家
萘普生,肌肉-骨骼系统药物 [口服常释剂型;缓释控释剂型],国家
塞来昔布,肌肉-骨骼系统药物 [口服常释剂型],国家
青霉胺,肌肉-骨骼系统药物 [口服常释剂型],国家
阿曲库铵,肌肉-骨骼系统药物 [注射剂],国家
麦考酚钠,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
环孢素,抗肿瘤药及免疫调节剂 [注射剂],国家
吡非尼酮,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
氨糖美辛,肌肉-骨骼系统药物 [口服常释剂型],国家
吡罗昔康,肌肉-骨骼系统药物 [口服常释剂型;缓释控释剂型],国家
精氨酸布洛芬,肌肉-骨骼系统药物 [口服常释剂型;颗粒剂;口服散剂],国家
右旋布洛芬,肌肉-骨骼系统药物 [口服液体剂],国家
尼美舒利,肌肉-骨骼系统药物 [口服常释剂型],国家
双氯芬酸二乙胺,肌肉-骨骼系统药物 [软膏剂;凝胶剂],国家
