消化系统药物 [口服常释剂型],国家
穿心莲内酯滴丸,内科用药 ,国家
复方双花颗粒（片、口服液）,内科用药 ,国家
健儿清解液,内科用药 ,国家
抗病毒丸（颗粒、胶囊、片、口服液）,内科用药 ,国家
清热解毒注射液,内科用药 ,国家
新癀片,内科用药 ,国家
黄连上清丸（颗粒、胶囊、片）,内科用药 ,国家
牛黄清胃丸,内科用药 ,国家
上清丸（胶囊、片）,内科用药 ,国家
板蓝根片（口服液）,内科用药 ,国家
穿心莲丸,内科用药 ,国家
活血解毒丸,内科用药 ,国家
金莲花颗粒（胶囊、片）,内科用药 ,国家
莲必治注射液,内科用药 ,国家
清瘟解毒丸（片）,内科用药 ,国家
感冒疏风颗粒（胶囊、片）,内科用药 ,国家
九味羌活片,内科用药 ,国家
柴胡滴丸（口服液）,内科用药 ,国家
维C银翘颗粒（胶囊、片）,内科用药 ,国家
银翘解毒合剂（软胶囊、液）,内科用药 ,国家
小儿柴桂退热颗粒（口服液）,内科用药 ,国家
玉屏风胶囊,内科用药 ,国家
藿香正气颗粒（胶囊、软胶囊、片、口服液）,内科用药 ,国家
十滴水,内科用药 ,国家
六合定中丸,内科用药 ,国家
便通胶囊（片）,内科用药 ,国家
感冒清胶囊（片）,内科用药 ,国家
牛黄清感胶囊,内科用药 ,国家
小儿宝泰康颗粒,内科用药 ,国家
九味双解口服液,内科用药 ,国家
玉枢散,内科用药 ,国家
保济丸,内科用药 ,国家
甘露消毒丸,内科用药 ,国家
避瘟散,内科用药 ,国家
三黄胶囊（片）,内科用药 ,国家
新雪丸（颗粒、胶囊、片）,内科用药 ,国家
银蒲解毒片,内科用药 ,国家
肿节风颗粒（胶囊、片）,内科用药 ,国家
黛蛤散,内科用药 ,国家
乙肝清热解毒颗粒（胶囊、片）,内科用药 ,国家
肝泰舒胶囊,内科用药 ,国家
金黄利胆胶囊,内科用药 ,国家
小儿肠胃康颗粒,内科用药 ,国家
香连丸（胶囊、片）,内科用药 ,国家
六味香连胶囊,内科用药 ,国家
理中丸,内科用药 ,国家
粘膜溃疡散,内科用药 ,国家
银黄颗粒（胶囊、片）,内科用药 ,国家
护肝丸,内科用药 ,国家
茵栀黄颗粒（口服液）,内科用药 ,国家
