内科用药 ,国家
匹伐他汀,心血管系统 [口服常释剂型],国家
咪康唑,皮肤病用药 [软膏剂],国家
重组人表皮生长因子,皮肤病用药 [外用液体剂;外用冻干制剂;吸入剂],国家
重组人碱性成纤维细胞生长因子,皮肤病用药 [外用冻干制剂],国家
甲氧沙林,皮肤病用药 [口服常释剂型],国家
磺胺嘧啶银,皮肤病用药 [软膏剂],国家
复方多粘菌素B,皮肤病用药 [软膏剂],国家
磺胺嘧啶锌,皮肤病用药 [外用散剂;软膏剂],国家
克林霉素,皮肤病用药 [外用液体剂],国家
喷昔洛韦,皮肤病用药 [软膏剂;凝胶剂],国家
依折麦布,心血管系统 [口服常释剂型],国家
特比萘芬,皮肤病用药 [口服常释剂型],国家
重组人表皮生长因子(酵母),皮肤病用药 [凝胶剂],国家
重组人酸性成纤维细胞生长因子,皮肤病用药 [外用冻干制剂],国家
甲氧沙林,皮肤病用药 [外用液体剂],国家
阿昔洛韦,皮肤病用药 [凝胶剂],国家
复方磺胺嘧啶锌,皮肤病用药 [凝胶剂],国家
磺胺嘧啶银,皮肤病用药 [外用散剂],国家
莫匹罗星,皮肤病用药 [软膏剂],国家
人纤维蛋白原,血液和造血器官药 [注射剂],国家
维生素K1,血液和造血器官药 [口服常释剂型],国家
蔗糖铁,血液和造血器官药 [注射剂],国家
叶酸,血液和造血器官药 [注射剂],国家
右旋糖酐(20、40、70)氯化钠,血液和造血器官药 [注射剂],国家
复方氨基酸(18AA-Ⅴ),血液和造血器官药 [注射剂],国家
复方氨基酸(15AA),血液和造血器官药 [注射剂],国家
脂肪乳(C14-24)(指大豆油),血液和造血器官药 [注射剂],国家
脂肪乳氨基酸葡萄糖,血液和造血器官药 [注射剂],国家
甘油果糖,血液和造血器官药 [注射剂],国家
精氨酸,血液和造血器官药 [注射剂],国家
右旋糖酐铁,血液和造血器官药 [注射剂],国家
腺苷钴胺,血液和造血器官药 [注射剂],国家
重组人促红素(CHO细胞),血液和造血器官药 [注射剂],国家
复方氨基酸(18AA-Ⅱ),血液和造血器官药 [注射剂],国家
小儿复方氨基酸(18AA-Ⅱ),血液和造血器官药 [注射剂],国家
复方氨基酸,血液和造血器官药 [注射剂],国家
中/长链脂肪乳(C6-24),血液和造血器官药 [注射剂],国家
复方乳酸钠葡萄糖,血液和造血器官药 [注射剂],国家
腹膜透析液,血液和造血器官药 [注射剂],国家
哌唑嗪,心血管系统 [口服常释剂型],国家
乌拉地尔,心血管系统 [口服常释剂型;缓释控释剂型],国家
呋塞米,心血管系统 [口服常释剂型],国家
阿魏酸钠,心血管系统 [口服常释剂型],国家
法舒地尔,心血管系统 [注射剂],国家
草木犀流浸液,心血管系统 [口服常释剂型],国家
肝素,心血管系统 [乳膏剂],国家
七叶皂苷,心血管系统 [注射剂],国家
曲克芦丁,心血管系统 [注射剂],国家
索他洛尔,心血管系统 [口服常释剂型],国家
阿替洛尔,心血管系统 [口服常释剂型],国家
米诺地尔,心血管系统 [口服常释剂型],国家
酚妥拉明,心血管系统 [注射剂],国家
二氢麦角碱,心血管系统 [口服常释剂型;缓释控释剂型],国家
酚苄明,心血管系统 [注射剂],国家
复方角菜酸酯,心血管系统 [栓剂;乳膏剂],国家
七叶皂苷,心血管系统 [口服常释剂型],国家
曲克芦丁,心血管系统 [口服常释剂型;口服液体剂],国家
普萘洛尔,心血管系统 [口服常释剂型],国家
索他洛尔,心血管系统 [注射剂],国家
美托洛尔,心血管系统 [注射剂],国家
L-门冬氨酸氨氯地平,心血管系统 [口服常释剂型],国家
非洛地平Ⅱ,心血管系统 [缓释控释剂型],国家
左旋氨氯地平,心血管系统 [口服常释剂型],国家
地尔硫䓬,心血管系统 [缓释控释剂型],国家
维拉帕米,心血管系统 [缓释控释剂型],国家
赖诺普利,心血管系统 [口服常释剂型],国家
氨氯地平贝那普利Ⅱ,心血管系统 [口服常释剂型],国家
奥美沙坦酯,心血管系统 [口服常释剂型],国家
缬沙坦,心血管系统 [口服常释剂型],国家
阿托伐他汀,心血管系统 [口服常释剂型],国家
非洛地平,心血管系统 [口服常释剂型;缓释控释剂型],国家
乐卡地平,心血管系统 [口服常释剂型],国家
地尔硫䓬,心血管系统 [注射剂],国家
地尔硫䓬(Ⅱ),心血管系统 [缓释控释剂型],国家
贝那普利,心血管系统 [口服常释剂型],国家
培哚普利,心血管系统 [口服常释剂型],国家
贝那普利氢氯噻嗪,心血管系统 [口服常释剂型],国家
坎地沙坦酯,心血管系统 [口服常释剂型],国家
替米沙坦氢氯噻嗪,心血管系统 [口服常释剂型],国家
氯化钠,血液和造血器官药 [注射剂],国家
甘油磷酸钠,血液和造血器官药 [注射剂],国家
胰蛋白酶,血液和造血器官药 [注射剂],国家
毒毛花苷K,心血管系统 [注射剂],国家
托西溴苄铵,心血管系统 [注射剂],国家
米力农葡萄糖,心血管系统 [注射剂],国家
硝酸异山梨酯,心血管系统 [口服常释剂型],国家
丹参酮ⅡA,心血管系统 [注射剂],国家
果糖二磷酸钠,心血管系统 [注射剂],国家
伊伐布雷定,心血管系统 [口服常释剂型],国家
甲基多巴,心血管系统 [口服常释剂型],国家
门冬氨酸钾镁,血液和造血器官药 [注射剂],国家
血液滤过置换基础液,血液和造血器官药 [注射剂],国家
毛花苷丙,心血管系统 [注射剂],国家
肾上腺素,心血管系统 [注射剂],国家
去氧肾上腺素,心血管系统 [注射剂],国家
硝酸甘油,心血管系统 [舌下片剂],国家
葛根素,心血管系统 [注射剂],国家
腺苷,心血管系统 [注射剂],国家
利血平,心血管系统 [注射剂],国家
