内科用药 ,国家
益心舒胶囊,内科用药 ,国家
血府逐瘀丸,内科用药 ,国家
复方丹参喷雾剂,内科用药 ,国家
黄杨宁片,内科用药 ,国家
利脑心片,内科用药 ,国家
薯蓣皂苷口服制剂,内科用药 ,国家
银丹心脑通软胶囊,内科用药 ,国家
冠心丹参胶囊,内科用药 ,国家
脑安滴丸,内科用药 ,国家
益心舒片,内科用药 ,国家
香丹注射液,内科用药 ,国家
盾叶冠心宁片,内科用药 ,国家
冠心丹参片,内科用药 ,国家
乐脉丸,内科用药 ,国家
脑得生丸,内科用药 ,国家
心可舒丸,内科用药 ,国家
复方丹参滴丸,内科用药 ,国家
冠心苏合胶囊,内科用药 ,国家
冠心苏合软胶囊,内科用药 ,国家
愈风宁心胶囊,内科用药 ,国家
大川芎片,内科用药 ,国家
脑脉利颗粒,内科用药 ,国家
天丹通络片,内科用药 ,国家
依托咪酯,麻醉用药物 [注射剂],国家
聚乙二醇干扰素α-2a[α-2b],调节免疫功能药物 [注射剂],国家
胸腺肽α1（胸腺法新）,调节免疫功能药物 [注射剂],国家
吡拉西坦（乙酰胺吡咯烷酮）,神经系统用药物 [口服常释剂型],国家
透明质酸钠,专科特殊用药物 [注射剂],国家
心血宁胶囊,内科用药 ,国家
灯盏花素片,内科用药 ,国家
冠心宁注射液,内科用药 ,国家
疏血通注射液,内科用药 ,国家
利奈唑胺（利奈唑胺葡萄糖）,抗微生物药物 [注射剂],国家
亮丙瑞林微球,激素及调节内分泌功能药物 [注射剂],国家
重组人白介素-11（重组人白介素-11（酵母））,调节免疫功能药物 [注射剂],国家
胞磷胆碱（胞二磷胆碱）,神经系统用药物 [注射剂],国家
吡拉西坦（乙酰胺吡咯烷酮）,神经系统用药物 [注射剂],国家
复方甲硝唑（甲硝维参）,专科特殊用药物 [阴道泡腾片;栓剂],国家
阿巴卡韦,抗微生物药物 [片剂;口服液],国家
洛匹那韦+利托那韦,抗微生物药物 [片剂;口服液],国家
替诺福韦/恩曲他滨,抗微生物药物 [片剂],国家
阿扎那韦,抗微生物药物 [胶囊],国家
咯萘啶,抗寄生虫病药物 [注射剂],国家
氨酚伪麻美芬,解热镇痛及非甾体抗炎药物 [胶囊],国家
氨咖黄敏,解热镇痛及非甾体抗炎药物 [口服液],国家
心脉隆注射液, [注射剂],国家
小儿清热感冒片,内科用药 [片剂],国家
利拉鲁肽注射液,消化道和代谢方面的药物 [注射剂],国家
依非韦伦,抗微生物药物 [片剂],国家
恩曲他滨,抗微生物药物 [胶囊;口服液],国家
依曲韦林,抗微生物药物 [片剂],国家
青蒿琥酯,抗寄生虫病药物 [片剂],国家
氨麻苯美,解热镇痛及非甾体抗炎药物 [片剂],国家
氨酚伪麻美芬（Ⅱ）,解热镇痛及非甾体抗炎药物 [片剂],国家
氨酚伪麻那敏（Ⅲ）,解热镇痛及非甾体抗炎药物 [分散片],国家
注射用益气复脉, [注射剂],国家
治糜康栓,妇科用药 [栓剂],国家
盐酸厄洛替尼片,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
西达本胺片,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
盐酸帕罗西汀肠溶缓释剂片,神经系统药物 [肠溶缓释片],国家
碳酸司维拉姆片,杂类 [口服常释剂型],国家
青霉素V,抗微生物药物 [口服常释剂型;颗粒剂],国家
磺苄西林,抗微生物药物 [注射剂],国家
阿莫西林克拉维酸,抗微生物药物 [注射剂],国家
舒巴坦,抗微生物药物 [注射剂],国家
头孢氨苄,抗微生物药物 [口服常释剂型;颗粒剂],国家
头孢拉定,抗微生物药物 [注射剂],国家
头孢丙烯,抗微生物药物 [口服常释剂型],国家
依维莫司片,抗肿瘤药及免疫调节剂 [口服常释剂型],国家
康柏西普眼用注射液,眼科用药 [眼用注射液],国家
重组人血管内皮抑制素注射液,抗肿瘤药及免疫调节剂 [注射剂],国家
阿莫西林,抗微生物药物 [口服常释剂型],国家
阿莫西林克拉维酸,抗微生物药物 [口服常释剂型],国家
氨苄西林舒巴坦,抗微生物药物 [注射剂],国家
替卡西林克拉维酸,抗微生物药物 [注射剂],国家
头孢唑林,抗微生物药物 [注射剂],国家
头孢硫脒,抗微生物药物 [注射剂],国家
复方阿司匹林,解热镇痛及非甾体抗炎药物 [口服常释剂型],国家
复方对乙酰氨基酚,解热镇痛及非甾体抗炎药物 [口服常释剂型],国家
洛索洛芬,解热镇痛及非甾体抗炎药物 [口服常释剂型],国家
帕瑞昔布,解热镇痛及非甾体抗炎药物 [注射剂],国家
氨基葡萄糖,解热镇痛及非甾体抗炎药物 [口服常释剂型],国家
动物骨多肽注射制剂,解热镇痛及非甾体抗炎药物 [注射剂],国家
秋水仙碱,解热镇痛及非甾体抗炎药物 [口服常释剂型],国家
芬太尼,镇痛药物 [贴剂],国家
"氨酚待因[I号,II号]",镇痛药物 [口服常释剂型],国家
布桂嗪,镇痛药物 [注射剂],国家
异氟烷,麻醉用药物 [液体剂型],国家
精氨酸布洛芬,解热镇痛及非甾体抗炎药物 [颗粒剂;口服散剂],国家
萘丁美酮,解热镇痛及非甾体抗炎药物 [口服常释剂型;缓释控释剂型],国家
去痛片（索米痛）,解热镇痛及非甾体抗炎药物 [口服常释剂型],国家
氨糖美辛,解热镇痛及非甾体抗炎药物 [口服常释剂型],国家
复方氯唑沙宗,解热镇痛及非甾体抗炎药物 [口服常释剂型],国家
丙磺舒,解热镇痛及非甾体抗炎药物 [口服常释剂型],国家
吗啡,镇痛药物 [缓释控释剂型],国家
布桂嗪,镇痛药物 [口服常释剂型],国家
洛芬待因(布洛芬可待因),镇痛药物 [口服常释剂型;缓释控释剂型],国家
头孢美唑,抗微生物药物 [注射剂],国家
头孢克肟,抗微生物药物 [口服常释剂型;颗粒剂],国家
头孢曲松,抗微生物药物 [注射剂],国家
头孢唑肟,抗微生物药物 [注射剂],国家
帕尼培南倍他米隆,抗微生物药物 [注射剂],国家
米诺环素,抗微生物药物 [口服常释剂型;颗粒剂],国家
去甲万古霉素,抗微生物药物 [注射剂],国家
磷霉素,抗微生物药物 [注射剂],国家
磷霉素,抗微生物药物 [口服常释剂型;口服散剂],国家
磺胺嘧啶,抗微生物药物 [口服常释剂型],国家
氧氟沙星,抗微生物药物 [注射剂],国家
头孢噻肟,抗微生物药物 [注射剂],国家
头孢哌酮舒巴坦,抗微生物药物 [注射剂],国家
美罗培南,抗微生物药物 [注射剂],国家
四环素,抗微生物药物 [口服常释剂型],国家
琥乙红霉素,抗微生物药物 [口服常释剂型;颗粒剂],国家
林可霉素,抗微生物药物 [注射剂],国家
氨曲南,抗微生物药物 [注射剂],国家
粘菌素（黏菌素）,抗微生物药物 [口服常释剂型],国家
甲氧苄啶,抗微生物药物 [口服常释剂型],国家
左氧氟沙星,抗微生物药物 [注射剂],国家
氟罗沙星,抗微生物药物 [注射剂],国家
洛美沙星,抗微生物药物 [口服常释剂型],国家
奥硝唑,抗微生物药物 [注射剂],国家
对氨基水杨酸钠,抗微生物药物 [注射剂],国家
丙硫异烟胺,抗微生物药物 [口服常释剂型],国家
利福平,抗微生物药物 [注射剂],国家
醋氨苯砜,抗微生物药物 [注射剂],国家
咪康唑,抗微生物药物 [注射剂],国家
泛昔洛韦,抗微生物药物 [口服常释剂型],国家
更昔洛韦,抗微生物药物 [注射剂],国家
吉米沙星,抗微生物药物 [口服常释剂型],国家
莫西沙星,抗微生物药物 [口服常释剂型],国家
替硝唑,抗微生物药物 [注射剂],国家
链霉素,抗微生物药物 [注射剂],国家
利福霉素,抗微生物药物 [注射剂],国家
氨苯砜,抗微生物药物 [口服常释剂型],国家
咪康唑,抗微生物药物 [口服常释剂型],国家
伊曲康唑,抗微生物药物 [口服常释剂型],国家
泛昔洛韦,抗微生物药物 [注射剂],国家
恩替卡韦,抗微生物药物 [口服常释剂型],国家
奥司他韦,抗微生物药物 [口服常释剂型],国家
青蒿素,抗寄生虫病药物 [栓剂],国家
氯喹,抗寄生虫病药物 [口服常释剂型],国家
奎宁,抗寄生虫病药物 [注射剂],国家
乙胺嘧啶,抗寄生虫病药物 [贴剂],国家
哌嗪,抗寄生虫病药物 [锭剂],国家
喷他脒,抗寄生虫病药物 [口服常释剂型],国家
甲硝唑,抗寄生虫病药物 [注射剂],国家
布洛芬,解热镇痛及非甾体抗炎药物 [口服液体剂;缓释控释剂型;颗粒剂],国家
醋氯芬酸,解热镇痛及非甾体抗炎药物 [口服常释剂型],国家
鱼腥草素,抗微生物药物 [口服常释剂型],国家
奎宁,抗寄生虫病药物 [口服常释剂型],国家
磺胺多辛,抗寄生虫病药物 [口服常释剂型],国家
咯萘啶,抗寄生虫病药物 [口服常释剂型],国家
哌嗪,抗寄生虫病药物 [口服常释剂型],国家
双羟萘酸噻嘧啶,抗寄生虫病药物 [口服常释剂型],国家
甲硝唑,抗寄生虫病药物 [口服常释剂型],国家
阿司匹林,解热镇痛及非甾体抗炎药物 [口服常释剂型],国家
布洛芬,解热镇痛及非甾体抗炎药物 [乳膏剂],国家
地氟烷,麻醉用药物 [液体剂型],国家
氧化亚氮,麻醉用药物 [气体剂型],国家
丁卡因,麻醉用药物 [口服液体剂;溶液剂],国家
利多卡因,麻醉用药物 [外用液体剂;吸入剂;凝胶剂],国家
阿曲库铵,麻醉用药物 [注射剂],国家
罗库溴铵,麻醉用药物 [注射剂],国家
维生素A,维生素及矿物质缺乏症用药物 [口服常释剂型],国家
维生素B12,维生素及矿物质缺乏症用药物 [注射剂],国家
烟酰胺,维生素及矿物质缺乏症用药物 [注射剂],国家
维生素D2,维生素及矿物质缺乏症用药物 [注射剂],国家
脂溶性维生素（I，II）,维生素及矿物质缺乏症用药物 [注射剂],国家
氯胺酮,麻醉用药物 [注射剂],国家
布比卡因,麻醉用药物 [注射剂],国家
罗哌卡因,麻醉用药物 [注射剂],国家
维库溴铵,麻醉用药物 [注射剂],国家
麻黄碱,麻醉用药物 [注射剂],国家
维生素B1,维生素及矿物质缺乏症用药物 [注射剂],国家
维生素B1,维生素及矿物质缺乏症用药物 [口服常释剂型],国家
维生素C,维生素及矿物质缺乏症用药物 [口服常释剂型],国家
水溶性维生素,维生素及矿物质缺乏症用药物 [注射剂],国家
达那唑,激素及调节内分泌功能药物 [口服常释剂型],国家
普拉睾酮,激素及调节内分泌功能药物 [注射剂],国家
己烯雌酚,激素及调节内分泌功能药物 [注射剂],国家
结合雌激素/甲羟孕酮,激素及调节内分泌功能药物 [口服常释剂型],国家
黄体酮,激素及调节内分泌功能药物 [口服常释剂型],国家
甲羟孕酮,激素及调节内分泌功能药物 [注射剂],国家
动物源胰岛素,激素及调节内分泌功能药物 [注射剂],国家
格列喹酮,激素及调节内分泌功能药物 [口服常释剂型],国家
吡格列酮,激素及调节内分泌功能药物 [口服常释剂型],国家
碘塞罗宁,激素及调节内分泌功能药物 [口服常释剂型],国家
氯膦酸二钠,激素及调节内分泌功能药物 [注射剂],国家
十一酸睾酮,激素及调节内分泌功能药物 [注射剂],国家
苯甲酸雌二醇,激素及调节内分泌功能药物 [注射剂],国家
地屈孕酮,激素及调节内分泌功能药物 [口服常释剂型],国家
己酸羟孕酮,激素及调节内分泌功能药物 [注射剂],国家
炔诺酮,激素及调节内分泌功能药物 [口服常释剂型;丸剂],国家
重组人胰岛素,激素及调节内分泌功能药物 [注射剂],国家
格列美脲,激素及调节内分泌功能药物 [口服常释剂型],国家
罗格列酮,激素及调节内分泌功能药物 [口服常释剂型],国家
维生素D3,激素及调节内分泌功能药物 [口服常释剂型],国家
葡萄糖酸钙,维生素及矿物质缺乏症用药物 [口服常释剂型],国家
多种微量元素（I，II）,维生素及矿物质缺乏症用药物 [注射剂],国家
复方氨基酸(19AA-1),营养治疗药物 [注射剂],国家
脂肪乳（C14-24）（大豆油）,营养治疗药物 [注射剂],国家
氨基酸型肠内营养剂,营养治疗药物 [口服散剂],国家
去氨加压素,激素及调节内分泌功能药物 [口服常释剂型],国家
戈那瑞林,激素及调节内分泌功能药物 [注射剂],国家
地塞米松,激素及调节内分泌功能药物 [口服常释剂型],国家
氢化可的松,激素及调节内分泌功能药物 [注射剂],国家
甲泼尼龙,激素及调节内分泌功能药物 [注射剂],国家
曲安西龙,激素及调节内分泌功能药物 [口服常释剂型],国家
硫酸锌,维生素及矿物质缺乏症用药物 [口服常释剂型],国家
复方氨基酸（15AA）,营养治疗药物 [注射剂],国家
中/长链脂肪乳（C8-24，Ve）,营养治疗药物 [注射剂],国家
整蛋白型肠内营养剂,营养治疗药物 [口服散剂;口服液体剂],国家
垂体后叶,激素及调节内分泌功能药物 [吸入剂],国家
去氨加压素,激素及调节内分泌功能药物 [注射剂],国家
地塞米松,激素及调节内分泌功能药物 [注射剂],国家
倍他米松,激素及调节内分泌功能药物 [注射剂],国家
泼尼松龙,激素及调节内分泌功能药物 [口服常释剂型],国家
高血糖素,激素及调节内分泌功能药物 [注射剂],国家
溴隐亭,激素及调节内分泌功能药物 [口服常释剂型],国家
环孢素,调节免疫功能药物 [口服常释剂型;口服液体剂],国家
麦考酚钠,调节免疫功能药物 [口服常释剂型],国家
重组人白介素－2,调节免疫功能药物 [注射剂],国家
静脉注射用人免疫球蛋白(pH4),调节免疫功能药物 [注射剂],国家
阿柔比星,抗肿瘤药物 [注射剂],国家
奥沙利铂,抗肿瘤药物 [注射剂],国家
吡柔比星,抗肿瘤药物 [注射剂],国家
卡莫司汀,抗肿瘤药物 [注射剂],国家
奈达铂,抗肿瘤药物 [注射剂],国家
胰激肽原酶,激素及调节内分泌功能药物 [口服常释剂型],国家
硫唑嘌呤,调节免疫功能药物 [口服常释剂型],国家
乌苯美司,调节免疫功能药物 [口服常释剂型],国家
重组人白介素-11[Ⅰ],调节免疫功能药物 [注射剂],国家
顺铂,抗肿瘤药物 [注射剂],国家
安吖啶,抗肿瘤药物 [注射剂],国家
苯丁酸氮芥,抗肿瘤药物 [口服常释剂型],国家
福莫司汀,抗肿瘤药物 [注射剂],国家
美法仑,抗肿瘤药物 [口服常释剂型],国家
亚砷酸（三氧化二砷）,抗肿瘤药物 [注射剂],国家
氯苯那敏,抗变态反应药物 [注射剂],国家
赛庚啶,抗变态反应药物 [口服常释剂型],国家
酮替芬,抗变态反应药物 [口服常释剂型],国家
普拉克索,神经系统用药物 [口服常释剂型],国家
司来吉兰,神经系统用药物 [口服常释剂型],国家
新斯的明,神经系统用药物 [注射剂],国家
加兰他敏,神经系统用药物 [注射剂],国家
卡马西平,神经系统用药物 [缓释控释剂型],国家
乙琥胺,神经系统用药物 [口服液体剂],国家
氟桂利嗪,神经系统用药物 [口服常释剂型],国家
异丙嗪,抗变态反应药物 [注射剂],国家
茶苯海明,抗变态反应药物 [口服常释剂型],国家
多巴丝肼,神经系统用药物 [口服常释剂型],国家
吡贝地尔,神经系统用药物 [缓释控释剂型],国家
苯海索,神经系统用药物 [口服常释剂型],国家
溴新斯的明,神经系统用药物 [口服常释剂型],国家
丙戊酸钠,神经系统用药物 [口服常释剂型],国家
托吡酯,神经系统用药物 [口服常释剂型],国家
丙戊酸钠,神经系统用药物 [注射剂],国家
顺铂氯化钠,抗肿瘤药物 [注射剂],国家
阿糖胞苷,抗肿瘤药物 [注射剂],国家
羟基脲,抗肿瘤药物 [口服常释剂型],国家
替加氟,抗肿瘤药物 [注射剂],国家
