赛霉胺乳膏, ,福建
金贝痰咳清颗粒, ,福建
复方鲜竹沥液, ,福建
川贝清肺糖浆, ,福建
聚维酮碘, [外用液体剂],福建
曲克芦丁脑蛋白水解物, [注射剂],福建
菠萝蛋白酶, [口服常释剂型],福建
依诺沙星, [注射剂],福建
复方氨基酸(15)双肽(2), [注射剂],福建
头孢地嗪, [注射剂],福建
阿莫西林氟氯西林, [注射剂],福建
氟氯西林, [注射剂],福建
司氟沙星, [口服常释剂型],福建
头孢妥仑匹酯, [口服常释剂型],福建
鞣酸小檗碱, [贴剂],甘肃
卡波姆, [眼用凝胶],甘肃
达克罗宁, [口服液体剂],福建
氟比洛芬, [贴剂],福建
三维B, [口服常释剂型],福建
头孢噻肟舒巴坦, [注射剂],福建
阿莫西林双氯西林, [口服常释剂型],福建
复方庆大霉素, [贴剂],福建
头孢曲松他唑巴坦, [注射剂],福建
去甲斑蝥素, [注射剂],福建
钠钾镁钙葡萄糖, [注射剂],甘肃
吡嘧司特钾, [滴眼剂],甘肃
酮洛芬, [凝胶剂],甘肃
依那普利氢氯噻嗪, [口服常释剂型],甘肃
瑞替普酶, [注射剂],甘肃
吸收性氧化纤维素, [口服常释剂型],甘肃
依诺沙星, [注射剂],甘肃
炎琥宁, [注射剂],甘肃
厄他培南, [注射剂],甘肃
头孢哌酮他唑巴坦, [注射剂],甘肃
米卡芬净, [注射剂],甘肃
参一胶囊, ,甘肃
多糖铁复合物, [口服常释剂型],甘肃
磺达肝癸钠, [注射剂],甘肃
尤瑞克林, [注射剂],甘肃
依托考昔, [口服常释剂型],甘肃
氟比洛芬, [巴布膏剂],甘肃
高乌甲素, [口服常释剂型],甘肃
头孢他啶他唑巴坦, [注射剂],甘肃
头孢呋辛酯, [口服液体剂],甘肃
乳泰胶囊(原名乳宁胶囊), ,甘肃
肾康注射液, ,甘肃
心荣片, ,甘肃
愈带丸, ,甘肃
七味胃痛胶囊, ,甘肃
和络舒肝胶囊, ,甘肃
复方清带灌注液, ,甘肃
金糖宁胶囊, ,甘肃
十五味萝蒂明目丸, ,甘肃
嘎日迪五味胶囊, ,甘肃
注射用丹参, ,甘肃
仙桂胶囊, ,甘肃
妇可靖胶囊, ,甘肃
妇科再造胶囊, ,甘肃
平溃散, ,甘肃
双金胃肠胶囊, ,甘肃
关通舒胶囊, ,甘肃
胆炎康胶囊, ,甘肃
十八味诃子利尿丸, ,甘肃
西帕依麦孜彼子胶囊, ,甘肃
心脉隆注射液, ,甘肃
复方枣仁胶囊, ,甘肃
玉兰降糖胶囊, ,甘肃
氨磷汀, [注射剂],甘肃
卵磷脂, [口服常释剂型],甘肃
骨化三醇, [注射剂],甘肃
英夫利西单抗, [注射剂],甘肃
奥曲肽微球, [注射剂],甘肃
二维三七桂利嗪, [注射剂],甘肃
薄芝糖肽, [注射剂],甘肃
头孢噻利, [注射剂],甘肃
核黄素磷酸钠, [注射剂],甘肃
参仙升脉口服液, ,甘肃
甘露聚糖肽, [口服常释剂型],甘肃
长链脂肪乳（00）, [注射剂],甘肃
氨基酸, [注射剂],甘肃
炔雌醇环丙孕酮, [口服常释剂型],甘肃
愈酚伪麻待因, [口服液体剂],甘肃
曲克芦丁脑蛋白水解物, [注射剂],甘肃
氨溴特罗, [口服液体剂],甘肃
头孢尼西, [注射剂],甘肃
重组人P53腺病毒, [注射剂],甘肃
卡介菌多糖核酸, [注射剂],甘肃
利妥昔单抗, [注射剂],甘肃
瑞舒伐他汀, [口服常释剂型],甘肃
血脂平胶囊, ,甘肃
阿胶当归合剂, ,甘肃
心脑清软胶囊, ,甘肃
圣·约翰草提取物片, ,甘肃
龙金通淋胶囊, ,甘肃
洁尔阴洗液, ,甘肃
抗妇炎胶囊, ,甘肃
胸腺肽, [口服常释剂型],甘肃
吉非替尼, [口服常释剂型],甘肃
养正合剂, ,甘肃
骨力胶囊, ,甘肃
铁棒锺止痛膏, ,甘肃
葛酮通络胶囊, ,甘肃
蛭蛇通络胶囊, ,甘肃
二十五味鬼臼丸, ,甘肃
妇科断红饮胶囊, ,甘肃
双虎肿痛宁, ,甘肃
